title,author,isbn,price,description,cover_image
To Kill a Mockingbird,Harper Lee,9780061120084,9.99,"A classic novel that explores themes of racial injustice and moral growth in the American South.",https://www.example.com/images/book1.jpg
1984,George Orwell,9780451524935,10.50,"A dystopian novel set in a totalitarian society, focusing on the consequences of government surveillance and thought control.",https://www.example.com/images/book2.jpg
Pride and Prejudice,Jane Austen,9780486284736,7.99,"A romantic novel that follows the life and relationships of Elizabeth Bennet in 19th-century England.",https://www.example.com/images/book3.jpg
The Great Gatsby,F. Scott Fitzgerald,9780743273565,8.75,"A novel set in the Roaring Twenties, depicting the decadence and disillusionment of the American Dream.",https://www.example.com/images/book4.jpg
To the Lighthouse,Virginia Woolf,9780156907392,12.25,"A modernist novel that explores the inner thoughts and experiences of the Ramsay family during a trip to a Scottish island.",https://www.example.com/images/book5.jpg
Brave New World,Aldous Huxley,9780060850524,11.99,"A futuristic dystopian novel that examines the consequences of technological and social advancements on society.",https://www.example.com/images/book6.jpg
The Catcher in the Rye,J.D. Salinger,9780316769488,9.25,"A coming-of-age novel that follows the experiences of Holden Caulfield, a disenchanted teenager.",https://www.example.com/images/book7.jpg
The Hobbit,J.R.R. Tolkien,9780345339683,10.99,"A fantasy adventure novel that follows the journey of Bilbo Baggins as he sets out on an epic quest.",https://www.example.com/images/book8.jpg
The Da Vinci Code,Dan Brown,9780307474278,13.50,"A mystery thriller that combines art, history, and religion in a quest for a hidden secret.",https://www.example.com/images/book9.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,14.99,"The first book in the Harry Potter series, introducing readers to the world of magic and Hogwarts School of Witchcraft and Wizardry.",https://www.example.com/images/book10.jpg
The Lord of the Rings,J.R.R. Tolkien,9780544003415,18.75,"A fantasy epic that follows the journey to destroy the One Ring and defeat the Dark Lord Sauron.",https://www.example.com/images/book11.jpg
The Hunger Games,Suzanne Collins,9780439023481,10.25,"A dystopian novel set in a future where teenagers are forced to compete in a deadly televised competition.",https://www.example.com/images/book12.jpg
The Road,Cormac McCarthy,9780307387899,11.75,"A post-apocalyptic novel that follows a father and son's harrowing journey in a desolate world.",https://www.example.com/images/book13.jpg
Gone Girl,Gillian Flynn,9780307588371,9.75,"A psychological thriller that explores the complexities of a troubled marriage and a mysterious disappearance.",https://www.example.com/images/book14.jpg
The Girl with the Dragon Tattoo,Stieg Larsson,9780307269751,12.99,"A mystery novel that uncovers dark family secrets and a decades-old disappearance.",https://www.example.com/images/book15.jpg
The Road Less Traveled,M. Scott Peck,9780743243155,11.25,"A self-help book that explores the importance of discipline and personal growth.",https://www.example.com/images/book16.jpg
The Alchemist,Paulo Coelho,9780061122415,8.99,"A philosophical novel that follows the journey of a shepherd named Santiago in search of his personal legend.",https://www.example.com/images/book17.jpg
The Art of War,Sun Tzu,9781590302255,7.50,"An ancient Chinese treatise on military strategy and tactics.",https://www.example.com/images/book18.jpg
The Catcher in the Rye,J.D. Salinger,9780316769174,9.25,"A coming-of-age novel that follows the experiences of Holden Caulfield, a disenchanted teenager.",https://www.example.com/images/book19.jpg
To the Lighthouse,Virginia Woolf,9780156907393,12.25,"A modernist novel that explores the inner thoughts and experiences of the Ramsay family during a trip to a Scottish island.",https://www.example.com/images/book20.jpg
The Road to Character,David Brooks,9780812993257,14.50,"A thought-provoking exploration of moral and personal development.",https://www.example.com/images/book21.jpg
The Goldfinch,Donna Tartt,9780316055437,15.99,"A novel that follows the life of a young boy after a tragic event at an art museum.",https://www.example.com/images/book22.jpg
The Help,Kathryn Stockett,9780425232200,10.75,"A story of racial segregation in the 1960s American South and the African American maids who tell their stories.",https://www.example.com/images/book23.jpg
The Girl on the Train,Paula Hawkins,9780735212169,12.25,"A psychological thriller involving three women, a mysterious disappearance, and unreliable narrators.",https://www.example.com/images/book24.jpg
The Martian,Andy Weir,9780553418026,11.99,"A science fiction novel about an astronaut stranded on Mars and his fight for survival.",https://www.example.com/images/book25.jpg
Educated,Tara Westover,9780399590504,13.50,"A memoir about a woman who grows up in a strict and abusive household but eventually escapes to earn a Ph.D.",https://www.example.com/images/book26.jpg
The Nightingale,Kristin Hannah,9780312577223,14.75,"A historical novel set in Nazi-occupied France, following the lives of two sisters and their struggle for survival.",https://www.example.com/images/book27.jpg
The Silent Patient,Alex Michaelides,9781250301697,10.99,"A psychological thriller involving a famous painter who stops speaking after she is accused of murdering her husband.",https://www.example.com/images/book28.jpg
The Water Dancer,Ta-Nehisi Coates,9780399590597,11.25,"A novel that blends historical fiction and magical realism, exploring the Underground Railroad and the power of memory.",https://www.example.com/images/book29.jpg
The Testaments,Margaret Atwood,9780385543781,16.99,"The sequel to 'The Handmaid's Tale,' offering perspectives from different women in the dystopian world of Gilead.",https://www.example.com/images/book30.jpg
Becoming,Michelle Obama,9781524763138,19.99,"A memoir by the former First Lady of the United States, offering insights into her life, values, and experiences.",https://www.example.com/images/book31.jpg
